Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,94.199997,94.949997,89.750000,90.550003,83.042824,1523095
2019-08-23,90.599998,94.550003,90.000000,93.449997,85.702393,1604894
2019-08-26,99.750000,99.800003,91.500000,95.050003,87.169746,2701594
2019-08-27,97.199997,99.199997,96.599998,97.250000,89.187347,2123031
2019-08-28,97.400002,97.650002,93.800003,94.500000,86.665337,1273207
2019-08-29,93.900002,95.900002,91.400002,91.900002,84.280899,1790291
2019-08-30,92.599998,93.599998,89.099998,92.599998,84.922859,2790355
2019-09-03,93.300003,93.400002,90.449997,91.449997,83.868210,1563352
2019-09-04,91.550003,93.699997,91.000000,93.300003,85.564827,1520379
2019-09-05,93.699997,94.150002,91.849998,93.599998,85.839951,1442523
2019-09-06,94.000000,94.849998,93.250000,94.300003,86.481926,1130859
2019-09-09,94.050003,96.250000,93.349998,95.550003,87.628288,1351505
2019-09-11,95.750000,99.599998,95.550003,99.050003,90.838120,1385377
2019-09-12,100.000000,102.449997,98.949997,101.250000,92.855721,1794098
2019-09-13,100.900002,101.349998,96.750000,99.849998,91.571793,2298428
2019-09-16,99.050003,100.250000,97.650002,98.849998,90.654694,1219073
2019-09-17,98.500000,99.550003,94.800003,95.150002,87.261452,1262077
2019-09-18,95.949997,96.849998,94.400002,96.000000,88.040977,1578633
2019-09-19,95.949997,95.949997,93.750000,94.550003,86.711197,1560527
2019-09-20,94.750000,102.699997,90.900002,100.250000,91.938629,4497203
2019-09-23,102.900002,103.050003,98.500000,100.599998,92.259613,4499791
2019-09-24,100.599998,101.550003,98.699997,99.150002,90.929817,1471640
2019-09-25,99.000000,99.000000,93.099998,93.599998,85.839951,1723624
2019-09-26,94.000000,97.650002,93.849998,95.800003,87.857559,2152479
2019-09-27,94.900002,96.699997,93.849998,95.150002,87.261452,1876894
2019-09-30,95.400002,95.550003,91.500000,93.050003,85.335564,2176668
2019-10-01,94.500000,94.699997,85.699997,91.250000,83.684792,3058984
2019-10-03,90.550003,93.050003,89.449997,90.849998,83.317947,1953490
2019-10-04,91.900002,92.400002,88.000000,88.699997,81.346191,1797577
2019-10-07,88.699997,89.250000,85.699997,87.099998,79.878845,2093517
2019-10-09,86.550003,91.500000,86.050003,91.050003,83.501373,2063483
2019-10-10,90.300003,90.300003,87.300003,87.800003,80.520813,1722772
2019-10-11,88.650002,91.199997,86.349998,90.800003,83.272095,2024691
2019-10-14,89.000000,90.949997,87.150002,88.300003,80.979362,2004822
2019-10-15,88.650002,88.750000,86.900002,88.000000,80.704231,1724573
2019-10-16,88.599998,89.849998,87.050003,87.300003,80.062271,1250179
2019-10-17,87.300003,89.400002,86.300003,89.000000,81.621323,1895726
2019-10-18,89.449997,90.800003,88.099998,89.750000,82.309151,1470317
2019-10-22,90.000000,92.500000,89.150002,90.150002,82.675987,1727683
2019-10-23,90.099998,92.849998,89.550003,92.550003,84.877007,1331978
2019-10-24,92.949997,93.550003,88.000000,89.900002,82.446709,1880919
2019-10-25,90.400002,92.099998,88.750000,91.500000,83.914055,2214838
2019-10-27,92.400002,92.550003,91.349998,91.699997,84.097473,180857
2019-10-29,91.300003,93.599998,90.349998,93.050003,85.335564,1386730
2019-10-30,93.500000,97.099998,92.800003,95.550003,87.628288,1921276
2019-10-31,96.099998,99.000000,95.699997,97.199997,89.141487,2466826
2019-11-01,97.599998,101.000000,97.000000,99.949997,91.663490,2417497
2019-11-04,100.550003,103.750000,100.500000,102.000000,93.543549,3957996
2019-11-05,102.150002,103.949997,101.199997,101.849998,93.405975,4859196
2019-11-06,101.750000,101.949997,98.699997,99.400002,91.159103,1825456
2019-11-07,99.800003,100.699997,95.699997,96.099998,88.132690,2018384
2019-11-08,96.199997,97.099998,93.349998,93.800003,86.023376,3386262
2019-11-11,94.000000,98.900002,94.000000,96.500000,88.499527,2566103
2019-11-13,97.000000,97.349998,93.000000,93.349998,85.610680,1197124
2019-11-14,93.400002,94.000000,90.599998,93.300003,85.564827,1731653
2019-11-15,93.900002,96.550003,93.699997,94.300003,86.481926,1932630
2019-11-18,94.699997,96.150002,94.349998,95.849998,87.903412,1204651
2019-11-19,96.000000,99.500000,95.849998,98.900002,90.700554,2470177
2019-11-20,100.000000,101.300003,98.050003,98.949997,90.746399,2713959
2019-11-21,99.400002,100.449997,98.349998,98.599998,90.425423,1608202
2019-11-22,98.650002,99.800003,98.400002,99.050003,90.838120,1475059
2019-11-25,99.050003,100.849998,98.900002,100.550003,92.213753,1372385
2019-11-26,101.300003,103.150002,99.150002,99.900002,91.617645,2334434
2019-11-27,100.349998,102.699997,99.400002,102.199997,93.726959,1179098
2019-11-28,103.000000,106.800003,102.599998,106.449997,97.624603,3260301
2019-11-29,107.000000,108.250000,104.400002,104.900002,96.203117,3347523
2019-12-02,105.000000,106.150002,104.000000,104.449997,95.790421,1840353
2019-12-03,104.500000,104.900002,100.599998,101.199997,92.809868,3281862
2019-12-04,100.750000,104.099998,100.250000,103.750000,95.148445,1499629
2019-12-05,105.000000,105.650002,101.699997,102.250000,93.772812,2153870
2019-12-06,103.449997,103.650002,96.400002,97.150002,89.095634,2249852
2019-12-09,97.800003,98.400002,95.550003,96.900002,88.866371,1936919
2019-12-10,97.550003,98.150002,95.199997,95.599998,87.674141,1335780
2019-12-11,96.000000,96.500000,94.199997,95.650002,87.720001,1150415
2019-12-12,96.050003,98.250000,95.800003,97.900002,89.783455,913913
2019-12-13,98.500000,102.099998,98.349998,101.750000,93.314262,1728629
2019-12-16,102.550003,102.550003,100.400002,101.000000,92.626450,991188
2019-12-17,101.300003,103.449997,101.300003,102.250000,93.772812,1163129
2019-12-18,101.449997,101.449997,98.500000,98.900002,90.700554,1211041
2019-12-19,98.900002,99.349998,97.599998,98.550003,90.379570,1066143
2019-12-20,99.500000,101.199997,99.250000,100.699997,92.351318,1220776
2019-12-23,100.800003,101.099998,99.250000,99.699997,91.434219,827832
2019-12-24,99.699997,100.650002,99.699997,99.849998,91.571793,676052
2019-12-26,100.099998,100.349998,98.650002,99.000000,90.792259,955136
2019-12-27,99.949997,104.599998,99.750000,104.199997,95.561142,2005153
2019-12-30,104.000000,104.349998,102.050003,102.949997,94.414772,829051
2019-12-31,102.949997,103.199997,101.650002,101.900002,93.451836,745555
2020-01-01,102.099998,102.650002,101.300003,101.849998,93.405975,600815
2020-01-02,101.750000,104.849998,101.750000,104.400002,95.744568,934048
2020-01-03,104.300003,104.300003,100.199997,100.849998,92.488884,1029844
2020-01-06,100.000000,100.000000,95.400002,95.800003,87.857559,1457518
2020-01-07,97.150002,98.099998,94.750000,96.099998,88.132690,1573618
2020-01-08,94.000000,95.800003,93.550003,95.250000,87.353165,1627204
2020-01-09,96.650002,98.000000,96.550003,97.250000,89.187347,1235976
2020-01-10,98.449997,98.949997,96.650002,97.000000,88.958069,1316001
2020-01-13,97.500000,98.150002,96.949997,97.550003,89.462471,600592
2020-01-14,97.800003,98.699997,96.699997,97.750000,89.645897,762118
2020-01-15,98.000000,98.250000,96.349998,98.050003,89.921028,898843
2020-01-16,98.000000,99.000000,97.349998,97.599998,89.508324,697967
2020-01-17,97.000000,98.199997,95.400002,97.300003,89.233208,815247
2020-01-20,98.300003,98.300003,94.300003,94.750000,86.894615,856976
2020-01-21,94.949997,95.750000,94.099998,94.750000,86.894615,671565
2020-01-22,95.300003,95.750000,93.599998,94.250000,86.436066,760754
2020-01-23,94.349998,96.250000,94.000000,94.800003,86.940468,906596
2020-01-24,95.199997,96.550003,94.849998,95.599998,87.674141,870371
2020-01-27,92.650002,93.800003,92.000000,92.349998,84.693581,1450962
2020-01-28,92.650002,93.599998,92.199997,93.300003,85.564827,626521
2020-01-29,94.150002,94.199997,93.349998,93.650002,85.885811,512443
2020-01-30,93.199997,93.500000,92.050003,93.050003,85.335564,549373
2020-01-31,93.150002,94.099998,92.300003,92.650002,84.968719,571442
2020-02-03,89.000000,89.349998,85.400002,85.900002,78.778343,1106522
2020-02-04,86.300003,87.900002,86.150002,87.099998,79.878845,725298
2020-02-05,87.250000,88.699997,87.099998,88.150002,80.841797,1113357
2020-02-06,88.699997,92.500000,88.000000,91.650002,84.051628,1395593
2020-02-07,91.699997,92.699997,90.349998,92.050003,84.418465,840068
2020-02-10,92.050003,92.250000,89.650002,90.099998,82.630127,432867
2020-02-11,91.000000,91.599998,90.000000,90.300003,82.813545,404443
2020-02-12,90.800003,91.199997,87.599998,88.199997,80.887642,768465
2020-02-13,91.199997,91.199997,87.800003,88.050003,80.750092,547982
2020-02-14,88.099998,88.900002,86.199997,86.349998,79.191025,581538
2020-02-17,86.250000,86.349998,82.000000,82.250000,75.430939,842460
